Time: 2020-08-30 09:58:24.285184, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:58:29.300416, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:58:34.307561, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:58:39.318956, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:58:44.334529, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:58:49.345154, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:58:54.352705, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:58:59.357587, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:04.371891, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:09.378942, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:14.386517, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:19.402742, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:24.415730, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:29.431340, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:34.446748, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:39.454656, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:44.467812, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:49.473472, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:54.486913, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:59:59.492035, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:04.499270, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:09.514430, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:14.527902, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:19.546275, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:24.559694, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:29.566042, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:34.572652, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:39.579171, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:44.587334, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:49.599518, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:54.604942, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:00:59.613114, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:04.628587, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:09.643403, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:14.655207, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:19.664349, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:24.669739, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:29.684598, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:34.696442, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:39.709520, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:44.724355, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:49.731062, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:54.746491, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:01:59.760557, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:04.771276, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:09.777024, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:14.795484, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:19.811816, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:24.821423, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:29.835934, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:34.843905, Messages: 0, Members Joined: 0 
